game_date,player_id,game_time,added_ts,sent_to_sql
2023-07-19,acowinthecrowd,0:18,2023-07-19 15:59:52,1
2023-07-19,tuckle,0:18,2023-07-19 15:59:52,1
2023-07-19,matt,0:19,2023-07-19 15:59:52,1
2023-07-19,throoper,0:20,2023-07-19 15:59:52,1
2023-07-19,mbbananas,0:24,2023-07-19 15:59:52,1
2023-07-19,croasus,0:28,2023-07-19 15:59:52,1
2023-07-19,aitchbee,0:32,2023-07-19 15:59:52,1
2023-07-19,andy,0:32,2023-07-19 15:59:52,1
2023-07-19,mama56,0:35,2023-07-19 15:59:52,1
2023-07-19,lando,0:38,2023-07-19 15:59:52,1
2023-07-19,jeskaeli,0:43,2023-07-19 15:59:52,1
2023-07-19,mickey,1:01,2023-07-19 15:59:52,1
2023-07-19,aromatt,1:07,2023-07-19 15:59:52,1
2023-07-19,hinak,1:13,2023-07-19 15:59:52,1
2023-07-19,jim,1:26,2023-07-19 15:59:52,1
